GROUP,ANIMAL ID,Plasma Viral Loads (copies/ml).Weeks post-infection.Week 3
Grp 1- ALVAC,P390,4937
Grp 1- ALVAC,P409,NA
Grp 1- ALVAC,R781,177963
Grp 1- ALVAC,R776,1466783
Grp 1- ALVAC,R768,10098422
Grp 1- ALVAC,R765,11899
Grp 1- ALVAC,R783,50281
Grp 1- ALVAC,R784,10954753
Grp 1- ALVAC,R791,NA
Grp 1- ALVAC,R767,58944
Grp 1- ALVAC,R761,NA
Grp 1- ALVAC,R760,1228153
Grp 1- ALVAC,A06042,3093647
Grp 1- ALVAC,A06079,50246
Grp 1- ALVAC,A06082,7718717
Grp 1- ALVAC,A06034,55132
Grp 1- ALVAC,A06059,61082
Grp 1- ALVAC,A06067,NA
Grp 1- ALVAC,A06028,NA
Grp 1- ALVAC,A06053,519129
Grp 2- NYVAC,P397,139095
Grp 2- NYVAC,R780,55610
Grp 2- NYVAC,R808,1020880
Grp 2- NYVAC,R769,583758
Grp 2- NYVAC,R770,3278731
Grp 2- NYVAC,R806,12641
Grp 2- NYVAC,R785,NA
Grp 2- NYVAC,R773,97210
Grp 2- NYVAC,R790,452211
Grp 2- NYVAC,R766,7695
Grp 2- NYVAC,R779,30878
Grp 2- NYVAC,R772,48946
Grp 2- NYVAC,A06071,318211
Grp 2- NYVAC,A06021,422289
Grp 2- NYVAC,A06049,326335
Grp 2- NYVAC,A06055,35772
Grp 2- NYVAC,A06072,13661870
Grp 2- NYVAC,A06015,3753641
Grp 2- NYVAC,A06089,989191
Grp 2- NYVAC,A06026,844290
Grp 3- ALVAC Ctrl,P403,80911
Grp 3- ALVAC Ctrl,R771,12055087
Grp 3- ALVAC Ctrl,R764,392963
Grp 3- ALVAC Ctrl,R817,349881
Grp 3- ALVAC Ctrl,R774,8322556
Grp 3- ALVAC Ctrl,R794,3979983
Grp 3- ALVAC Ctrl,A06019,312606
Grp 3- ALVAC Ctrl,A06070,6079636
Grp 3- ALVAC Ctrl,A06016,7956758
Grp 3- ALVAC Ctrl,A06083,136900341
Grp 4- NYVAC Ctrl,P404,NA
Grp 4- NYVAC Ctrl,R814,290663
Grp 4- NYVAC Ctrl,R782,6368600
Grp 4- NYVAC Ctrl,R762,3054468
Grp 4- NYVAC Ctrl,R763,273970
Grp 4- NYVAC Ctrl,R778,2446270
Grp 4- NYVAC Ctrl,A06032,114689377
Grp 4- NYVAC Ctrl,A06085,5094674
Grp 4- NYVAC Ctrl,A06023,NA
naïve,R777,22032975
naïve,R775,2442247
naïve,R811,NA
naïve,R812,151101
naïve,R815,9712776
